Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
68457.0,Overlake Medical Pavilion,Starbucks,15731-155524,425-453-3256,CO,"1231 116th Ave. NE, 25",1231 116th Ave. NE,25,,Bellevue,WA,US,980043810,"(47.6210174560547, -122.186332702637)",47.62101745605469,-122.18633270263672,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
17121.0,"4th & Catalina, Yuma",Starbucks,13732-108188,928-344-2937,CO,3115 South 4th Avenue,3115 South 4th Avenue,,,Yuma,AZ,US,853648122,"(32.6720390319824, -114.623756408691)",32.67203903198242,-114.6237564086914,US Mountain Standard Time,-420.0,GMT+000000 America/Phoenix,2013-12-08 22:41:59
17734.0,Safeway - Guerneville #950,Starbucks,79586-105478,707-869-9433,LS,16405 River Rd,16405 River Rd,,,Guerneville,CA,US,954469654,"(38.5019302368164, -123.000381469727)",38.501930236816406,-123.00038146972656,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
15088.0,Bremerton Conference Center,Starbucks,8847-94359,360-373-8105,CO,80 Washington Avenue,80 Washington Avenue,,,Bremerton,WA,US,983371878,"(47.5634574890137, -122.625198364258)",47.56345748901367,-122.62519836425781,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
20214.0,Severna Park,Starbucks,12480-151424,4105443240,CO,503 Ritchie Highway,503 Ritchie Highway,,,Severna Park,MD,US,211462912,"(39.0804901123047, -76.5480499267578)",39.08049011230469,-76.54804992675781,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
1012420.0,Teavana - Shops at Summerlin Centre,Teavana,28237-250163,702-256-0286,CO,"215 Beltway, Store No. J100D, Shops at Summerlin Centre",215 Beltway,Store No. J100D,Shops at Summerlin Centre,Las Vegas,NV,US,89135,"(36.1490097045898, -115.333518981934)",36.149009704589844,-115.3335189819336,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2015-07-02 04:00:00
14304.0,Colorado & Arizona,Starbucks,8916-95345,303-758-0625,CO,1233 S. Colorado Blvd,1233 S. Colorado Blvd,,,Denver,CO,US,802462902,"(39.6943550109863, -104.941009521484)",39.69435501098633,-104.94100952148438,Mountain Standard Time,-360.0,GMT-07:00 America/Denver,2013-12-08 22:41:59
1012496.0,Teavana - Wolfchase Galleria,Teavana,28365-249881,901-266-5413,CO,"2760 N. Germantown Pkwy., #2438, Wolfchase Galleria",2760 N. Germantown Pkwy.,#2438,Wolfchase Galleria,Memphis,TN,US,38133,"(35.2011680603027, -89.7913818359375)",35.201168060302734,-89.7913818359375,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2015-07-04 04:00:00
18768.0,"Kroger-Gallatin, TN #569",Starbucks,6172-148992,615-230-3900,LS,2011 Nashville Pike,2011 Nashville Pike,,,Gallatin,TN,US,370663162,"(36.3459930419922, -86.5249633789063)",36.34599304199219,-86.52496337890625,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
17789.0,Countryside Marketplace,Starbucks,11313-104543,(571) 434-0247,CO,"3 Pidgeon Hill Drive, Countryside Marketplace",3 Pidgeon Hill Drive,,Countryside Marketplace,Sterling,VA,US,201656102,"(39.0389366149902, -77.4128799438477)",39.038936614990234,-77.41287994384766,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
16623.0,Safeway-Hillsboro #1230,Starbucks,74303-77222,503-645-6631,LS,2177 NW 185th,2177 NW 185th,,,Hillsboro,OR,US,971247074,"(45.5368347167969, -122.869674682617)",45.536834716796875,-122.86967468261719,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
1006376.0,Pacific Hwy & 288th,Starbucks,20832-197726,2539414440,CO,28722 Pacific Hwy S,28722 Pacific Hwy S,,,Federal Way,WA,US,98003,"(47.3438606262207, -122.311836242676)",47.3438606262207,-122.31183624267578,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-14 05:00:00
17302.0,1015 NE 26th St,Starbucks,11908-102044,954-566-1304,CO,1015 NE 26th St,1015 NE 26th St,,,Wilton Manors,FL,US,333051243,"(26.1597270965576, -80.1332397460938)",26.159727096557617,-80.13323974609375,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
1005896.0,Disneyland Market House,Starbucks,19824-199324,7147814000,LS,1313 S. Harbo Blvd,1313 S. Harbo Blvd,,,Anaheim,CA,US,92802,"(33.8108940124512, -117.918823242188)",33.81089401245117,-117.9188232421875,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
1005591.0,"8243 So. Quebec, Cty Line Rd",Starbucks,254-196664,3037795221,CO,8243 So. Quebec,8243 So. Quebec,,,Centennial,CO,US,80112,"(39.5663871765137, -104.906929016113)",39.56638717651367,-104.90692901611328,Mountain Standard Time,-360.0,GMT-07:00 America/Denver,2013-12-08 22:41:59
114024.0,King Soopers- Greeley #11,Starbucks,19217-108206,970-339-1700,LS,2100 35th Ave,2100 35th Ave,,,Greeley,CO,US,806343910,"(40.4049873352051, -104.733238220215)",40.40498733520508,-104.73323822021484,Mountain Standard Time,-360.0,GMT-07:00 America/Denver,2013-12-08 22:41:59
18125.0,Harris Teeter - New Bern #221,Starbucks,73729-108017,252-514-0060,LS,2019 S Glenburnie Road,2019 S Glenburnie Road,,,New Bern,NC,US,285625228,"(35.1009101867676, -77.0981597900391)",35.10091018676758,-77.09815979003906,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
15842.0,Central & Olive,Starbucks,669-443,(909) 399-9938,CO,9015-A Central Ave,9015-A Central Ave,,,Montclair,CA,US,917631646,"(34.0902214050293, -117.689147949219)",34.0902214050293,-117.68914794921875,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
16827.0,Del Mar,Starbucks,526-470,(858) 793-4453,CO,1435 Camino Del Mar,1435 Camino Del Mar,,,Del Mar,CA,US,920142571,"(32.9593849182129, -117.264984130859)",32.95938491821289,-117.26498413085938,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
87276.0,Valley View & Lampson,Starbucks,16779-161664,7148914825,CO,12452 Valley View Street,12452 Valley View Street,,,Garden Grove,CA,US,928452033,"(33.7815933227539, -118.02938079834)",33.781593322753906,-118.02938079833984,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
15666.0,California Oaks Road & 15 freeway,Starbucks,6446-54379,951-696-1440,CO,"41032 California Oaks Rd., Cal Oaks Plaza",41032 California Oaks Rd.,,Cal Oaks Plaza,Murrietta,CA,US,925625749,"(33.5662803649902, -117.204544067383)",33.566280364990234,-117.20454406738281,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
116456.0,Giant-Haverton #6442,Starbucks,20282-197244,610-449-1161,LS,116 W Township Line Rd,116 W Township Line Rd,,,Haverton,PA,US,19083,"(39.9677619934082, -75.2960739135742)",39.9677619934082,-75.29607391357422,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
1009607.0,Target King of Prussia T-2596,Starbucks,23949-216285,610-312-0056,LS,160 West Dekalb Pike,160 West Dekalb Pike,,,King of Prussia,PA,US,19406,"(40.0923194885254, -75.3750762939453)",40.09231948852539,-75.37507629394531,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2014-08-02 04:00:00
16924.0,Bryant Irvin & Overton,Starbucks,6385-19059,817-263-7070,CO,4849 Bryant Irvin Road,4849 Bryant Irvin Road,,,Fort Worth,TX,US,761323615,"(32.6786575317383, -97.4143371582031)",32.67865753173828,-97.41433715820312,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
1005890.0,Beltway 8 & Pearland Pky,Starbucks,20143-186531,713-987-9130,CO,"10501 Pearland Parkway, Suite A",10501 Pearland Parkway,Suite A,,Houston,TX,US,77075,"(29.5991878509521, -95.2658081054688)",29.59918785095215,-95.26580810546875,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
14911.0,International Place,Starbucks,7621-25449,703-465-7425,CO,"1735 N Lynn St, Ste 020","1735 N Lynn St, Ste 020",,,Arlington,VA,US,222092013,"(38.895923614502, -77.0704956054688)",38.89592361450195,-77.07049560546875,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
18431.0,Sansome,Starbucks,533-478,(415) 989-8759,CO,343 Sansome,343 Sansome,,,San Francisco,CA,US,941041303,"(37.793628692627, -122.401390075684)",37.79362869262695,-122.4013900756836,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
18814.0,CLT Terminal E,Starbucks,3488-153005,704-359-4512,LS,5501 Josh Birmingham Pkwy,5501 Josh Birmingham Pkwy,,,Charlotte,NC,US,282085750,"(35.2206954956055, -80.9438705444336)",35.22069549560547,-80.9438705444336,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
14867.0,16th St. & Blake,Starbucks,5803-15714,720-904-3580,CO,"1490 16th Street, 16 Market Square",1490 16th Street,,16 Market Square,Denver,CO,US,802021320,"(39.7502174377441, -104.999198913574)",39.75021743774414,-104.99919891357422,Mountain Standard Time,-360.0,GMT-07:00 America/Denver,2013-12-08 22:41:59
16604.0,Safeway-Olympia #1952,Starbucks,74328-82309,360-456-7132,LS,4230 Martin Way E,4230 Martin Way E,,,Olympia,WA,US,985165354,"(47.0497894287109, -122.828948974609)",47.04978942871094,-122.82894897460938,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
16544.0,South Associated Rd & E. Imperial,Starbucks,5248-434,(714) 529-5288,CO,435 South Associated Road,435 South Associated Road,,,Brea,CA,US,928215802,"(33.9125633239746, -117.881378173828)",33.91256332397461,-117.88137817382812,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
1012861.0,Teavana - Chicago Ridge,Teavana,28665-250054,708-423-5245,CO,"291 Chicago Ridge Mall, Store No. G13, Chicago Ridge",291 Chicago Ridge Mall,Store No. G13,Chicago Ridge,Chicago Ridge,IL,US,60415,"(41.7193183898926, -87.7824554443359)",41.71931838989258,-87.78245544433594,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2015-07-11 04:00:00
1009811.0,US 301 & Falkenburg,Starbucks,24221-227666,813.928.7580,CO,3715 S US Highway 301,3715 S US Highway 301,,,Riverview,FL,US,33578,"(27.9145927429199, -82.3494415283203)",27.914592742919922,-82.34944152832031,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2015-05-20 04:00:00
18523.0,Albertsons-Mukilteo #469,Starbucks,73196-21481,425-347-3060,LS,12811 Beverly Park Rd,12811 Beverly Park Rd,,,Lynnwood,WA,US,980875126,"(47.8810691833496, -122.280738830566)",47.88106918334961,-122.2807388305664,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
13987.0,"La Cholla & Ina, Tucson",Starbucks,6844-82581,520-219-9338,CO,7555 N. La Cholla Blvd.,7555 N. La Cholla Blvd.,,,Tucson,AZ,US,857414236,"(32.3436012268066, -111.013076782227)",32.34360122680664,-111.01307678222656,US Mountain Standard Time,-420.0,GMT+000000 America/Phoenix,2013-12-08 22:41:59
1005613.0,Henderson State University - Garris,Starbucks,20651-205405,,LS,1100 Henderson St,1100 Henderson St,,,Arkadelphia,AR,US,71999,"(34.1255226135254, -93.0597915649414)",34.12552261352539,-93.0597915649414,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
15998.0,Telephone & Main - Ventura,Starbucks,5538-1773,8056509618,CO,4711-1a Telephone Road,4711-1a Telephone Road,,,Ventura,CA,US,930035253,"(34.2607307434082, -119.23518371582)",34.2607307434082,-119.23518371582031,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
1006664.0,Frys-Buckeye #675,Starbucks,21316-211384,623-691-6600,LS,1300 S. Watson Rd.,1300 S. Watson Rd.,,,Buckeye,AZ,US,853266303,"(33.4341621398926, -112.558250427246)",33.43416213989258,-112.5582504272461,US Mountain Standard Time,-420.0,GMT+000000 America/Phoenix,2014-02-13 05:00:00
15659.0,Columbiana Centre,Starbucks,9847-98290,803-749-4557,CO,"100 Columbiana Circle, 1040, Columbiana Centre",100 Columbiana Circle,1040,Columbiana Centre,Columbia,SC,US,292122231,"(34.0770988464355, -81.1552047729492)",34.07709884643555,-81.15520477294922,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
16313.0,Woodmoor,Starbucks,7619-17794,301-681-6440,CO,"10103 Colesville Rd, Woodmoor Shopping Center",10103 Colesville Rd,,Woodmoor Shopping Center,Silver Spring,MD,US,209012426,"(39.0202369689941, -77.0119171142578)",39.02023696899414,-77.01191711425781,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
15377.0,101 North Tyron,Starbucks,8390-13848,704-377-2790,CO,101 N Tryon St,101 N Tryon St,,,Charlotte,NC,US,282460100,"(35.227725982666, -80.8429107666016)",35.227725982666016,-80.84291076660156,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
14894.0,Alakea & King St,Starbucks,21042-88760,808-538-7600,CO,"1025 Alakea Street, 10, Central Pacific Plaza",1025 Alakea Street,10,Central Pacific Plaza,Honolulu,HI,US,968134519,"(21.3080978393555, -157.860198974609)",21.30809783935547,-157.86019897460938,Hawaiian Standard Time,-600.0,GMT-10:00 Pacific/Honolulu,2013-12-08 22:41:59
14943.0,Spring Hill Metro,Starbucks,7537-11783,703-760-7037,CO,"8520 D Leesburg Pike, Tysons 3 Center",8520 D Leesburg Pike,,Tysons 3 Center,Vienna,VA,US,221822414,"(38.9283256530762, -77.2392730712891)",38.92832565307617,-77.23927307128906,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
13937.0,"Pioneer & Artesia, Artesia",Starbucks,2989-93580,562-860-5444,CO,11809 Artesia Blvd.,11809 Artesia Blvd.,,,Artesia,CA,US,907014501,"(33.8745918273926, -118.081993103027)",33.87459182739258,-118.08199310302734,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
15920.0,Oaklawn & Rawlins,Starbucks,6254-1019,(214) 219-0369,CO,3330 Oaklawn Avenue,3330 Oaklawn Avenue,,,Dallas,TX,US,752194212,"(32.8107223510742, -96.8066558837891)",32.81072235107422,-96.80665588378906,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
15829.0,Wauwatosa & Harmonee,Starbucks,2349-3349,(414) 607-8864,CO,1417 N. Wauwatosa Avenue,1417 N. Wauwatosa Avenue,,,Wauwatosa,WI,US,532132646,"(43.0506744384766, -88.0078506469727)",43.05067443847656,-88.00785064697266,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
19307.0,Safeway-Sunnyvale #2887,Starbucks,27172-155164,408-732-1259,LS,762 Sunnyvale Saratoga Rd,762 Sunnyvale Saratoga Rd,,,Sunnyvale,CA,US,940871462,"(37.3647651672363, -122.030708312988)",37.36476516723633,-122.03070831298828,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
91346.0,Target Las Cruces T-769,Starbucks,17952-99306,575-532-5899,LS,2541 E Lohman Ave Ste A,2541 E Lohman Ave Ste A,,,Las Cruces,NM,US,880118233,"(32.3143768310547, -106.74617767334)",32.31437683105469,-106.74617767333984,Mountain Standard Time,-360.0,GMT-07:00 America/Denver,2013-12-08 22:41:59
18510.0,Fordview Plaza - Ford Rd,Starbucks,2435-16394,313-563-8145,CO,"26425 Ford Road, Fordview Plaza",26425 Ford Road,,Fordview Plaza,Dearborn Heights,MI,US,481272886,"(42.3258628845215, -83.2996597290039)",42.325862884521484,-83.2996597290039,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
15037.0,Millburn,Starbucks,7276-757,973-258-1986,CO,343 Millburn Avenue,343 Millburn Avenue,,,Millburn,NJ,US,07041,"(40.7240104675293, -74.3073654174805)",40.7240104675293,-74.30736541748047,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
1006641.0,Aramark @ UCF Health & Public Affai,Starbucks,20281-150104,404-823-4100,LS,4000 Central Florida Blvd,4000 Central Florida Blvd,,,Orlando,FL,US,32816,"(28.6003246307373, -81.1990966796875)",28.600324630737305,-81.1990966796875,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2014-05-23 04:00:00
15523.0,Bee Caves & 71,Starbucks,6397-20619,512-263-1866,CO,"12400 State Hwy 71 West, 710, HEB Shopping Center",12400 State Hwy 71 West,710,HEB Shopping Center,Austin,TX,US,78738,"(30.3048305511475, -97.9341201782227)",30.30483055114746,-97.93412017822266,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
19141.0,Target Queens Place T-1344,Starbucks,13133-113948,718-760-5656,LS,8801 Queens Blvd,8801 Queens Blvd,,,Elmhurst,NY,US,113734449,"(40.7353286743164, -73.8749084472656)",40.735328674316406,-73.87490844726562,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
17140.0,Hwy 67 & Hwy 287,Starbucks,11300-103845,972-775-4797,CO,190 North Hwy 67,190 North Hwy 67,,,Midlothian,TX,US,760655009,"(32.4829559326172, -97.0088958740234)",32.48295593261719,-97.00889587402344,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
1012657.0,Teavana - Mall of America,Teavana,28432-249726,952-853-9880,CO,"128 WEST MARKET ST, Mall of America",128 WEST MARKET ST,,Mall of America,Bloomington,MN,US,55425,"(44.8538093566895, -93.2449035644531)",44.85380935668945,-93.24490356445312,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2015-07-08 04:00:00
14050.0,12300 South & 1300 East-Draper,Starbucks,6924-87506,801-501-9177,CO,1283 E. Draper Pkwy.,1283 E. Draper Pkwy.,,,Draper,UT,US,840209098,"(40.5293045043945, -111.855102539063)",40.52930450439453,-111.8551025390625,Mountain Standard Time,-360.0,GMT-07:00 America/Denver,2013-12-08 22:41:59
63080.0,Fred Meyer-Kirkland #391,Starbucks,15544-94698,425-820-3200,LS,12221 120th Ave NE,12221 120th Ave NE,,,Kirkland,WA,US,980346905,"(47.7079277038574, -122.183807373047)",47.70792770385742,-122.18380737304688,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
1008964.0,620 & OConnor,Starbucks,22301-219824,(512) 993-9416,CO,16650 N. RR 620 Road,16650 N. RR 620 Road,,,Round Rock,TX,US,786815626,"(30.4983520507813, -97.7228164672852)",30.49835205078125,-97.72281646728516,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2015-02-28 05:00:00
16853.0,Broadway and Bond,Starbucks,7497-8627,917-534-0799,CO,665 Broadway,665 Broadway,,,New York,NY,US,100122300,"(40.7271919250488, -73.9954605102539)",40.72719192504883,-73.9954605102539,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
18178.0,The Portals,Starbucks,11869-105617,(202) 488-6366,CO,"1201 Maryland Avenue SW, The Portals",1201 Maryland Avenue SW,,The Portals,Washington,DC,US,200246129,"(38.8844985961914, -77.0297470092773)",38.884498596191406,-77.02974700927734,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
1007374.0,Alexian Brothers Medical Center-Elk,Starbucks,23211-103857,,LS,800 Biesterfield Rd,800 Biesterfield Rd,,,Elk Grove Village,IL,US,600073361,"(42.0041770935059, -88.0174102783203)",42.00417709350586,-88.01741027832031,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2014-12-31 05:00:00
1007200.0,49th & Park,Starbucks,19030-193844,212 682-2586,CO,280 Park Avenue,280 Park Avenue,,,New York,NY,US,10017,"(40.7565727233887, -73.9749298095703)",40.75657272338867,-73.97492980957031,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2014-05-23 04:00:00
17671.0,Vons-Corona #2381,Starbucks,74567-79466,951-278-8012,LS,535 N McKinley St,535 N McKinley St,,,Corona,CA,US,928791297,"(33.8913078308105, -117.519950866699)",33.89130783081055,-117.51995086669922,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
18113.0,Peachtree Ind Blvd & Moore Rd,Starbucks,11488-104413,770-904-2558,CO,1041 Peachtree Industrial Blvd,1041 Peachtree Industrial Blvd,,,Suwanee,GA,US,300241919,"(34.0513114929199, -84.0908126831055)",34.05131149291992,-84.09081268310547,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
1006131.0,Kroger - Kingwood #359,Starbucks,19840-201728,281-318-1194,LS,25651 Highway 59 N,25651 Highway 59 N,,,Kingwood,TX,US,77339,"(30.0720348358154, -95.2432327270508)",30.07203483581543,-95.24323272705078,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
18097.0,"Portland, 1080 Forest Ave",Starbucks,11917-105248,207-878-1210,CO,1080 Forest Avenue,1080 Forest Avenue,,,Portland,ME,US,041033322,"(43.6840400695801, -70.2915115356445)",43.68404006958008,-70.29151153564453,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
20206.0,King Soopers - Arvada #85,Starbucks,73931-102079,720-898-4228,LS,15200 West 64th Ave,15200 West 64th Ave,,,Arvada,CO,US,800077510,"(39.811351776123, -105.171653747559)",39.81135177612305,-105.1716537475586,Mountain Standard Time,-360.0,GMT-07:00 America/Denver,2013-12-08 22:41:59
16653.0,Loop 1604 & Bandera,Starbucks,6628-66260,210-509-4717,CO,"11620 Bandera Road, Suite 101, HEB Shopping Center #32",11620 Bandera Road,Suite 101,HEB Shopping Center #32,San Antonio,TX,US,782506833,"(29.5511322021484, -98.663444519043)",29.551132202148438,-98.66344451904297,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
1007171.0,Fry's-Gilbert #72,Starbucks,22387-167244,480-726-3720,LS,87 E Williams Field Rd,87 E Williams Field Rd,,,Gilbert,AZ,US,852955202,"(33.3048820495605, -111.78791809082)",33.30488204956055,-111.78791809082031,US Mountain Standard Time,-420.0,GMT+000000 America/Phoenix,2015-05-20 04:00:00
16562.0,Mesquite Market East Shopping Cntr,Starbucks,6232-789,(972) 270-7840,CO,"1645 Town East Blvd, Market East II Shopping Center",1645 Town East Blvd,,Market East II Shopping Center,Mesquite,TX,US,751504158,"(32.8111877441406, -96.623161315918)",32.811187744140625,-96.62316131591797,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
90545.0,Ming & Ashe,Starbucks,17654-152412,661-836-6404,CO,6451 Ming Avenue,6451 Ming Avenue,,,Bakersfield,CA,US,93309,"(35.334358215332, -119.073585510254)",35.33435821533203,-119.0735855102539,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
17798.0,"Blaine & Iowa, Riverside",Starbucks,10666-101361,951-686-5947,CO,"1280 W. Blaine Street, A",1280 W. Blaine Street,A,,Riverside,CA,US,925079101,"(33.9828681945801, -117.33960723877)",33.98286819458008,-117.33960723876953,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
90540.0,Von Karman & Barranca,Starbucks,17356-160395,949-474-0613,CO,16567 Von Karman Avenue,16567 Von Karman Avenue,,,Irvine,CA,US,926064928,"(33.6976318359375, -117.834716796875)",33.6976318359375,-117.834716796875,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
